Date,Clicks,Impressions,CTR,Position
2026-06-10,3,1054,0.28%,14.2
2026-06-11,5,1154,0.43%,13.1
2026-06-12,3,1082,0.28%,13.8
2026-06-13,3,993,0.3%,16.9
2026-06-14,3,920,0.33%,14.4
2026-06-15,5,1080,0.46%,15.8
2026-06-16,8,886,0.9%,13.2
2026-06-17,3,984,0.3%,16.1
2026-06-18,6,838,0.72%,18.1
2026-06-19,3,785,0.38%,21.4
2026-06-20,6,672,0.89%,24.9
2026-06-21,8,774,1.03%,28
2026-06-22,7,786,0.89%,23
2026-06-23,11,616,1.79%,26.4
2026-06-24,6,649,0.92%,22.6
2026-06-25,7,658,1.06%,20.8
2026-06-26,8,661,1.21%,18.7
2026-06-27,2,608,0.33%,23.6
2026-06-28,2,833,0.24%,19.6
2026-06-29,3,912,0.33%,16.4
2026-06-30,7,897,0.78%,20
2026-07-01,6,1007,0.6%,16.1
2026-07-02,4,694,0.58%,12.9
2026-07-03,4,400,1%,12.2
2026-07-04,4,392,1.02%,8.6
2026-07-05,5,421,1.19%,9.5
2026-07-06,10,471,2.12%,10.5
2026-07-07,9,459,1.96%,10.9
