Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Regular price,Categories,Tax status
simple,CAP-SM5,Semaglutide (G1-S) 5 mg,0,0,visible,"5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Semaglutide is supplied as a 5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,70,Weight Loss & Metabolic,taxable
simple,CAP-SM10,Semaglutide (G1-S) 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Semaglutide is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,100,Weight Loss & Metabolic,taxable
simple,CAP-T10,Tirzepatide (G2-T) 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Tirzepatide is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,110,Weight Loss & Metabolic,taxable
simple,CAP-T30,Tirzepatide (G2-T) 30 mg,0,0,visible,"30 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Tirzepatide is supplied as a 30 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,250,Weight Loss & Metabolic,taxable
simple,CAP-RT10,Retatrutide (G3-R) 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Retatrutide is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,130,Weight Loss & Metabolic,taxable
simple,CAP-RT30,Retatrutide (G3-R) 30 mg,0,0,visible,"30 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Retatrutide is supplied as a 30 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,250,Weight Loss & Metabolic,taxable
simple,CAP-CGL5,Cagrilintide (C-Amylin) 5 mg,0,0,visible,"5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Cagrilintide is supplied as a 5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,110,Weight Loss & Metabolic,taxable
simple,CAP-CS10,Cagrilintide / Semaglutide Blend (C-Amylin / G1-S) 5/5 mg,0,0,visible,"5/5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Cagrilintide / Semaglutide Blend is supplied as a 5/5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,120,Weight Loss & Metabolic,taxable
simple,CAP-CD5,CJC-1295 with DAC 5 mg,0,0,visible,"5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","CJC-1295 with DAC is supplied as a 5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,90,Growth Hormone,taxable
simple,CAP-CP10,CJC-1295 + Ipamorelin Blend 5/5 mg,0,0,visible,"5/5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","CJC-1295 + Ipamorelin Blend is supplied as a 5/5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,90,Growth Hormone,taxable
simple,CAP-SMO5,Sermorelin 5 mg,0,0,visible,"5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Sermorelin is supplied as a 5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,60,Growth Hormone,taxable
simple,CAP-TSM10,Tesamorelin 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Tesamorelin is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,100,Growth Hormone,taxable
simple,CAP-IP5,Ipamorelin 5 mg,0,0,visible,"5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Ipamorelin is supplied as a 5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,50,Growth Hormone,taxable
simple,CAP-IG1,IGF-1 LR3 1 mg,0,0,visible,"1 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","IGF-1 LR3 is supplied as a 1 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,100,Growth Hormone,taxable
simple,CAP-BC5,BPC-157 5 mg,0,0,visible,"5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","BPC-157 is supplied as a 5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,50,Repair & Recovery,taxable
simple,CAP-BC10,BPC-157 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","BPC-157 is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,70,Repair & Recovery,taxable
simple,CAP-BT10,TB-500 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","TB-500 is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,110,Repair & Recovery,taxable
simple,CAP-BB10,BPC-157 + TB-500 Blend 5/5 mg,0,0,visible,"5/5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","BPC-157 + TB-500 Blend is supplied as a 5/5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,110,Repair & Recovery,taxable
simple,CAP-BB20,BPC-157 + TB-500 Blend 10/10 mg,0,0,visible,"10/10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","BPC-157 + TB-500 Blend is supplied as a 10/10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,160,Repair & Recovery,taxable
simple,CAP-CU50,GHK-Cu 50 mg,0,0,visible,"50 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","GHK-Cu is supplied as a 50 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,40,Skin & Anti-Aging,taxable
simple,CAP-BBG70,GLOW 70 mg,0,0,visible,"70 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","GLOW is supplied as a 70 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,120,Skin & Anti-Aging,taxable
simple,CAP-KBT80,KLOW 80 mg,0,0,visible,"80 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","KLOW is supplied as a 80 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,150,Skin & Anti-Aging,taxable
simple,CAP-ML10,Melanotan 2 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Melanotan 2 is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,60,Skin & Anti-Aging,taxable
simple,CAP-XA30,Semax 30 mg,0,0,visible,"30 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Semax is supplied as a 30 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,90,Focus & Mood,taxable
simple,CAP-SK5,Selank 5 mg,0,0,visible,"5 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Selank is supplied as a 5 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,50,Focus & Mood,taxable
simple,CAP-ET10,Epitalon 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Epitalon is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,50,Longevity & Immune,taxable
simple,CAP-NJ500,NAD+ 500 mg,0,0,visible,"500 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","NAD+ is supplied as a 500 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,90,Longevity & Immune,taxable
simple,CAP-TA10,Thymosin Alpha-1 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","Thymosin Alpha-1 is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,80,Longevity & Immune,taxable
simple,CAP-MS10,MOTS-C 10 mg,0,0,visible,"10 mg lyophilized powder · ≥99% purity, third-party tested · COA on request · For Research Use Only.","MOTS-C is supplied as a 10 mg lyophilized powder for laboratory and research use only. Each batch is third-party tested for purity and identity (≥99% by HPLC); a Certificate of Analysis is available on request. For Research Use Only — not for human or veterinary use, and not for diagnostic, therapeutic, clinical, food, or cosmetic use. Handling restricted to qualified research personnel.",1,60,Weight Loss & Metabolic,taxable
